,subject,date,NM,eid,fiber,region,nph_file,nph_bnc,comment,photometry_path_a,photometry_path_b,digital_inputs_path,alyx_exists,taskData_exists,taskData_alfpath,n_timestamps_nph,n_timestamps_bpod,drift_ppm,timestamps_diff
20,ZFM-03059,2021-09-02,5HT,272c7a84-1f76-4305-a355-4e2149726a9d,probe01,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-02/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/PhotometryData_M1_M4_TCW_S5_02Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/DI0_M1_M4_TCW_S5_02Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,378,377,-5.937693514,-1
21,ZFM-03061,2021-09-02,5HT,245e3c34-df59-49df-8644-19a41de2b5b1,probe04,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-02/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/PhotometryData_M1_M4_TCW_S5_02Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/DI1_M1_M4_TCW_S5_02Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,213,212,-9.47651965,-1
22,ZFM-03061,2021-09-02,5HT,245e3c34-df59-49df-8644-19a41de2b5b1,probe05,Region6G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-02/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/PhotometryData_M1_M4_TCW_S5_02Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/DI1_M1_M4_TCW_S5_02Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,213,212,-9.47651965,-1
23,ZFM-03062,2021-09-02,5HT,a4d68a06-ffc3-43f3-ae1d-f4d05124ed22,probe02,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-09-02/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/PhotometryData_M3_M2_TCW_S5_02Sep2021_2.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/DI1_M3_M2_TCW_S5_02Sep2021_2.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,266,265,-22.81014547,-1
24,ZFM-03065,2021-09-02,5HT,92bf91b5-75db-4e95-8623-fd32c615558f,probe03,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-09-02/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/PhotometryData_M3_M2_TCW_S5_02Sep2021_2.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S5_02Sep2021/DI0_M3_M2_TCW_S5_02Sep2021_2.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,212,211,-13.57893632,-1
25,ZFM-03059,2021-09-03,5HT,e04536b2-b161-478e-af3a-d04bc1ab33ee,probe01,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-03/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/PhotometryData_M1_M4_TCW_S6_03Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/DI0_M1_M4_TCW_S6_03Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,404,403,-0.1077550077,-1
26,ZFM-03061,2021-09-03,5HT,ac37db31-64f3-4558-a255-3f5c49154b9b,probe04,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-03/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/PhotometryData_M1_M4_TCW_S6_03Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/DI1_M1_M4_TCW_S6_03Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,385,384,3.065487499,-1
27,ZFM-03061,2021-09-03,5HT,ac37db31-64f3-4558-a255-3f5c49154b9b,probe05,Region6G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-03/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/PhotometryData_M1_M4_TCW_S6_03Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/DI1_M1_M4_TCW_S6_03Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,385,384,3.065487499,-1
28,ZFM-03062,2021-09-03,5HT,3f4e6cd3-e402-4de5-84c8-f0ebb9a93fe8,probe02,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-09-03/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/PhotometryData_M3_M2_TCW_S6_03Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/DI1_M3_M2_TCW_S6_03Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,397,396,-11.8483928,-1
29,ZFM-03065,2021-09-03,5HT,48c4f78b-92f7-4ee2-b9c1-5f807197b5e9,probe03,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-09-03/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/PhotometryData_M3_M2_TCW_S6_03Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S6_03Sep2021/DI0_M3_M2_TCW_S6_03Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,238,237,0.5994261178,-1
