Unnamed: 0,subject,date,region,eid,fiber,added,BNC ,path
370,ZFM-03447,2021-11-20,Region7G,d4a1fa36-00e8-4309-b070-d96fee4da6d8,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2021-11-20/001/raw_photometry_data/raw_photometry.csv
530,ZFM-03450,2021-11-20,Region7G,bdfdec12-fa65-4cca-ab1f-c6f8c94ec204,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-20/001/raw_photometry_data/raw_photometry.csv
29,ZFM-03450,2021-11-21,Region4G,27c464a4-5cc3-41b5-b944-a93570658466,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-21/001/raw_photometry_data/raw_photometry.csv
112,ZFM-03448,2021-11-21,Region7G,aad8c23e-a563-441e-94ad-c7fda38a699b,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-11-21/002/raw_photometry_data/raw_photometry.csv
656,ZFM-03448,2021-11-21,Region4G,aad8c23e-a563-441e-94ad-c7fda38a699b,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-11-21/002/raw_photometry_data/raw_photometry.csv
775,ZFM-03450,2021-11-21,Region1G,27c464a4-5cc3-41b5-b944-a93570658466,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-21/001/raw_photometry_data/raw_photometry.csv
44,ZFM-03450,2021-11-22,Region7G,ab97cc43-df02-4195-a826-07c2561248d2,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-22/001/raw_photometry_data/raw_photometry.csv
256,ZFM-03448,2021-11-22,Region4G,1fea5830-c4a1-4920-b4de-f2a06f86bbeb,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-11-22/002/raw_photometry_data/raw_photometry.csv
524,ZFM-03447,2021-11-22,Region7G,2c67c0b2-881d-4fa0-8a6e-ba91b3f65bd1,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2021-11-22/002/raw_photometry_data/raw_photometry.csv
744,ZFM-03450,2021-11-22,Region4G,ab97cc43-df02-4195-a826-07c2561248d2,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-22/001/raw_photometry_data/raw_photometry.csv
728,ZFM-03448,2021-11-24,Region4G,fd0d6ee3-59ca-4312-a93c-bc3111c3092b,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-11-24/001/raw_photometry_data/raw_photometry.csv
194,ZFM-03450,2021-11-26,Region4G,ad9dbfa4-ceaa-48c7-a4bd-40a7316aeedd,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-26/002/raw_photometry_data/raw_photometry.csv
249,ZFM-03450,2021-11-26,Region7G,ad9dbfa4-ceaa-48c7-a4bd-40a7316aeedd,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-26/002/raw_photometry_data/raw_photometry.csv
319,ZFM-03448,2021-11-26,Region4G,9b77e235-e9c3-4a11-a8fb-f7d5b436f023,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-11-26/001/raw_photometry_data/raw_photometry.csv
734,ZFM-03447,2021-11-26,Region7G,adc9515f-00f8-4537-bf83-5ae92b18c25f,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2021-11-26/001/raw_photometry_data/raw_photometry.csv
356,ZFM-03450,2021-11-27,Region7G,3e675f34-9b6f-47b4-9064-e9c9c5e17872,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-27/001/raw_photometry_data/raw_photometry.csv
563,ZFM-03450,2021-11-27,Region4G,3e675f34-9b6f-47b4-9064-e9c9c5e17872,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-11-27/001/raw_photometry_data/raw_photometry.csv
771,ZFM-03448,2021-11-27,Region4G,9377cb93-077e-4301-9a5d-718b91244c25,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-11-27/001/raw_photometry_data/raw_photometry.csv
443,ZFM-03450,2021-12-02,Region4G,7b892482-f0a1-45c0-a52c-146c3ee8f450,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-12-02/002/raw_photometry_data/raw_photometry.csv
688,ZFM-03447,2021-12-02,Region7G,fa8b1e10-ae9f-49c8-922f-c9f0743c9cf7,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2021-12-02/002/raw_photometry_data/raw_photometry.csv
714,ZFM-03450,2021-12-02,Region1G,7b892482-f0a1-45c0-a52c-146c3ee8f450,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-12-02/002/raw_photometry_data/raw_photometry.csv
754,ZFM-03448,2021-12-07,Region7G,563bda29-4e75-4ed0-b455-e95a69c82132,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-12-07/001/raw_photometry_data/raw_photometry.csv
331,ZFM-03448,2021-12-09,Region4G,11587d64-3155-4511-96ce-cdd3360b3437,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-12-09/001/raw_photometry_data/raw_photometry.csv
