path,subject,date,region,folder1,folder2,present
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-10-28/001,ZFM-03059,2021-10-28,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-11-05/001,ZFM-03059,2021-11-05,Region1G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-12-06/001,ZFM-03059,2021-12-06,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-12-07/001,ZFM-03059,2021-12-07,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-12-08/001,ZFM-03059,2021-12-08,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-12-09/004,ZFM-03059,2021-12-09,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-12-10/001,ZFM-03059,2021-12-10,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-12-13/002,ZFM-03059,2021-12-13,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-12-16/002,ZFM-03059,2021-12-16,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-12-22/002,ZFM-03059,2021-12-22,Region4G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-03/001,ZFM-03059,2022-01-03,Region4G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-04/001,ZFM-03059,2022-01-04,Region1G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-05/001,ZFM-03059,2022-01-05,Region1G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-05/001,ZFM-03059,2022-01-05,Region4G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-05/001,ZFM-03059,2022-01-05,Region7G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-06/001,ZFM-03059,2022-01-06,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-07/001,ZFM-03059,2022-01-07,Region4G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-14/001,ZFM-03059,2022-01-14,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-02-03/002,ZFM-03059,2022-02-03,,False,False,no
